"Kön","Ålder","Ålder5","Ålder10","Avdelning","Omfattning","Frånvaro","Lön","Anställning","Förtroendearbetstid","Karriaärnivå","Arbetsområde","Arbetsområde1","Personalansvar","Anställd_sedan","Anställningstid"
"man",57,"55-59","50-59","Administration",100,0,41990,"Tillsvidare","Nej",4,10,1,NA,2000-02-15,225
"man",43,"40-44","40-49","Administration",100,0,40375,"Tillsvidare","Ja",4,10,1,NA,2008-09-16,122
"kvinna",43,"40-44","40-49","Administration",100,0,40970,"Tillsvidare","Nej",4,10,1,NA,2006-05-01,151
"kvinna",39,"35-39","30-39","Administration",100,0,43350,"Tillsvidare","Ja",4,10,1,NA,2007-09-01,135
"man",53,"50-54","50-59","Administration",100,0,39440,"Tillsvidare","Ja",4,10,1,NA,1992-03-03,321
"kvinna",48,"45-49","40-49","Administration",100,0,38590,"Tillsvidare","Nej",4,10,1,NA,1999-09-21,230
"kvinna",46,"45-49","40-49","Administration",100,0,42670,"Tillsvidare","Ja",4,10,1,NA,1998-12-01,240
"man",46,"45-49","40-49","Administration",100,20.16,40290,"Tillsvidare","Ja",4,10,1,NA,2003-03-25,188
"kvinna",43,"40-44","40-49","Administration",100,34.52,44200,"Tillsvidare","Nej",4,10,1,NA,2012-04-17,79
"kvinna",42,"40-44","40-49","Administration",100,14.52,40205,"Tillsvidare","Ja",4,10,1,NA,2003-08-05,184
"kvinna",40,"40-44","40-49","Administration",100,0,38930,"Tillsvidare","Nej",4,10,1,NA,2005-09-15,158
"man",42,"40-44","40-49","Administration",100,0,39270,"Tillsvidare","Nej",4,10,1,NA,2009-04-15,115
"kvinna",54,"50-54","50-59","Administration",100,0,39950,"Tillsvidare","Ja",4,10,1,NA,2007-02-06,142
"man",39,"35-39","30-39","Administration",100,0,37570,"Tillsvidare","Ja",4,10,1,NA,2007-01-30,142
