Kon;Alder;Alder;Alder10;Avdelning;Omfattning;Franvaro;Lon;Anstallning;Fortroendearbetstid;Karriarniva;Arbetsomrade;Arbetsomrade1;Personalansvar;Anstalld_sedan
man;42;40-44;40-49;Produktion;100;13;60860;Tillsvidare;Ja;5;10;1;Ja;2003-03-18
kvinna;51;50-54;50-59;Produktion;100;0;36805;Tillsvidare;Nej;3;10;1;;1991-05-01
man;36;35-39;30-39;Produktion;100;10;36125;Tillsvidare;Nej;3;10;1;;2010-05-19
man;33;30-34;30-39;Produktion;100;0;27200;Tidsbegränsad;Nej;3;10;1;;2016-08-17
kvinna;30;30-34;30-39;Produktion;100;0;29750;Tillsvidare;Nej;3;10;1;;2015-03-31
man;30;30-34;30-39;Produktion;100;0;27200;Tidsbegränsad;Nej;3;10;1;;2017-01-10
kvinna;28;25-29;-29;Produktion;100;0;29750;Tidsbegränsad;Nej;3;10;1;;2014-06-10
kvinna;34;30-34;30-39;Produktion;100;0;31025;Tillsvidare;Nej;3;10;1;;2012-08-07
kvinna;34;30-34;30-39;Produktion;100;100;36210;Tillsvidare;Nej;3;10;1;;2014-06-03
man;34;30-34;30-39;Produktion;100;10;31365;Tidsbegränsad;Nej;3;10;1;;2015-04-28
kvinna;32;30-34;30-39;Produktion;100;0;37825;Tidsbegränsad;Nej;3;10;1;;2016-06-21
man;31;30-34;30-39;Produktion;100;100;34000;Tillsvidare;Nej;3;10;1;;2012-07-05
kvinna;29;25-29;-29;Produktion;100;0;29750;Tillsvidare;Nej;3;10;1;;2015-01-13
kvinna;27;25-29;-29;Produktion;100;0;29750;Tidsbegränsad;Nej;3;10;1;;2014-07-09
kvinna;27;25-29;-29;Produktion;100;0;27200;Tidsbegränsad;Nej;3;10;1;;2016-03-15
kvinna;36;35-39;30-39;Produktion;100;100;40120;Tillsvidare;Nej;4;10;1;;2009-05-01
man;35;35-39;30-39;Produktion;100;0;39100;Tillsvidare;Nej;4;10;1;;2009-06-05
man;46;45-49;40-49;Produktion;100;10;44328;Tillsvidare;Ja;4;10;1;;1998-06-23
man;48;45-49;40-49;Produktion;100;0;47005;Tillsvidare;Ja;5;10;1;;1997-07-01
man;41;40-44;40-49;Produktion;100;10;48535;Tillsvidare;Ja;5;10;1;Nej;2001-07-10
man;67;65-;60-;Produktion;100;0;51000;Tillsvidare;Ja;5;10;1;;2001-08-14
kvinna;44;40-44;40-49;Produktion;100;0;48535;Tillsvidare;Ja;5;10;1;Nej;2010-09-14
man;56;55-59;50-59;Lager;100;0;61455;Tillsvidare;Ja;5;10;1;Ja;1997-12-01
kvinna;43;40-44;40-49;Lager;100;0;44880;Tillsvidare;Ja;3;10;1;;2013-01-31
kvinna;35;35-39;30-39;Lager;100;0;44455;Tillsvidare;Ja;3;10;1;;2014-10-01
man;41;40-44;40-49;Lager;100;0;40290;Tillsvidare;Nej;3;10;1;;2013-03-07
man;40;40-44;40-49;Lager;100;31;41225;Tillsvidare;Nej;3;10;1;;2011-02-15
kvinna;38;35-39;30-39;Lager;100;25;41480;Tillsvidare;Nej;3;10;1;;2012-10-23
kvinna;35;35-39;30-39;Lager;100;50;32300;Tillsvidare;Nej;3;10;1;;2008-06-10
kvinna;33;30-34;30-39;Lager;100;0;36890;Tillsvidare;Nej;3;10;1;;2015-04-03
man;32;30-34;30-39;Lager;100;0;31705;Tillsvidare;Nej;3;10;1;;2012-10-30
man;31;30-34;30-39;Lager;100;0;30175;Tillsvidare;Nej;3;10;1;;2014-03-18
kvinna;31;30-34;30-39;Lager;100;100;31450;Tillsvidare;Nej;3;10;1;;2012-10-30
man;48;45-49;40-49;Lager;100;0;45135;Tillsvidare;Ja;4;10;1;;2000-10-31
kvinna;44;40-44;40-49;Lager;100;0;47600;Tillsvidare;Ja;4;10;1;;2010-01-19
man;53;50-54;50-59;Lager;100;0;43690;Tillsvidare;Nej;4;10;1;;1997-07-01
man;42;40-44;40-49;Lager;100;10;41905;Tillsvidare;Nej;4;10;1;;2004-03-31
man;40;40-44;40-49;Lager;100;0;40290;Tillsvidare;Nej;4;10;1;;2011-05-13
man;39;35-39;30-39;Lager;100;0;38505;Tillsvidare;Ja;4;10;1;;2010-01-12
kvinna;37;35-39;30-39;Lager;100;10;44285;Tillsvidare;Ja;4;10;1;;2012-06-15
man;36;35-39;30-39;Lager;100;0;39270;Tillsvidare;Nej;4;10;1;;2010-06-01
man;52;50-54;50-59;Lager;100;0;43095;Tillsvidare;Ja;5;10;1;;2002-01-01
man;45;45-49;40-49;Lager;100;0;46155;Tillsvidare;Ja;5;10;1;;2012-08-07
man;42;40-44;40-49;Lager;100;0;45390;Tillsvidare;Ja;5;10;1;;2010-03-01
man;46;45-49;40-49;Lager;100;19;48875;Tillsvidare;Ja;5;10;1;Nej;2005-08-01
kvinna;53;50-54;50-59;Administration;100;0;59075;Tillsvidare;Ja;5;10;1;;1994-05-01
man;51;50-54;50-59;Administration;100;0;72250;Tillsvidare;Ja;5;10;1;;1993-07-01
kvinna;45;45-49;40-49;Administration;100;0;62050;Tillsvidare;Ja;5;10;1;Ja;2000-09-19
man;64;60-64;60-;Administration;100;50;55590;Tillsvidare;Ja;5;10;1;;2001-04-25
man;53;50-54;50-59;Administration;100;0;61030;Tillsvidare;Ja;5;10;1;Ja;1998-01-01
man;51;50-54;50-59;Administration;100;0;61200;Tillsvidare;Ja;5;10;1;Ja;2011-03-22
kvinna;41;40-44;40-49;Administration;100;3;37655;Tillsvidare;Ja;3;10;1;;2015-03-01
kvinna;55;55-59;50-59;Administration;100;0;42415;Tillsvidare;Nej;3;10;1;;2012-12-31
